ID,region
18366,2
18367,2
18368,2
18369,2
18370,2
18371,2
18372,2
18373,2
18374,2
18375,2
18425,3
18426,3
18427,3
18428,3
18429,3
18430,3
18431,3
18432,3
18433,3
18434,3
18435,3
18436,3
18437,3
18438,3
18439,3
18474,1
18475,1
18476,1
18477,1
18478,1
18479,1
18481,1
18482,1
18483,1
18484,1
18485,1
18486,1
18697,2
18698,2
18699,2
18700,2
18701,2
18702,2
18703,2
18704,2
18705,2
18706,2
18707,2
18708,2
18709,2
18710,2
18758,3
18759,3
18760,3
18761,3
18762,3
18763,3
18764,3
18765,3
18766,3
18767,3
18768,3
18769,3
18770,3
18771,3
18772,3
18812,1
18813,1
18814,1
18815,1
18816,1
18818,1
18819,1
19030,2
19031,2
19032,2
19033,2
19035,2
19036,2
19037,2
19038,2
19039,2
19040,2
19041,2
19042,2
19043,2
19044,2
19091,3
19092,3
19093,3
19094,3
19095,3
19096,3
19097,3
19098,3
19099,3
19100,3
19101,3
19102,3
19103,3
19105,3
19143,1
19144,1
19145,1
19146,1
19147,1
19148,1
19149,1
19150,1
19151,1
19152,1
19153,1
19154,1
19155,1
19156,1
19364,2
19365,2
19366,2
19367,2
19368,2
19369,2
19370,2
19371,2
19372,2
19373,2
19374,2
19375,2
19399,2
19400,2
19424,3
19425,3
19426,3
19427,3
19428,3
19429,3
19430,3
19431,3
19432,3
19433,3
19434,3
19435,3
19436,3
19475,1
19476,1
19477,1
19478,1
19480,1
19481,1
19482,1
19483,1
19484,1
19485,1
19486,1
19487,1
19493,1
19494,1
19495,1
19499,1
19500,1
19501,1
19697,2
19698,2
19699,2
19700,2
19701,2
19702,2
19703,2
19704,2
19705,2
19706,2
19707,2
19708,2
19731,2
19732,2
19733,2
19756,3
19757,3
19758,3
19759,3
19760,3
19761,3
19762,3
19763,3
19764,3
19765,3
19766,3
19767,3
19768,3
19769,3
19825,1
19826,1
19827,1
19830,1
19831,1
19832,1
19833,1
19834,1
19835,1
20031,2
20032,2
20033,2
20034,2
20035,2
20036,2
20037,2
20038,2
20039,2
20040,2
20041,2
20042,2
20047,2
20048,2
20049,2
20050,2
20064,2
20065,2
20066,2
20089,3
20090,3
20091,3
20092,3
20093,3
20094,3
20095,3
20096,3
20097,3
20160,1
20161,1
20162,1
20166,1
20167,1
20168,1
20169,1
20365,2
20366,2
20367,2
20368,2
20369,2
20370,2
20371,2
20372,2
20373,2
20374,2
20375,2
20376,2
20377,2
20378,2
20379,2
20380,2
20381,2
20382,2
20383,2
20384,2
20397,2
20398,2
20399,2
20400,2
20421,3
20422,3
20423,3
20424,3
20425,3
20426,3
20427,3
20428,3
20429,3
20494,1
20495,1
20501,1
20502,1
20700,2
20701,2
20702,2
20703,2
20704,2
20705,2
20706,2
20707,2
20708,2
20709,2
20710,2
20711,2
20712,2
20713,2
20714,2
20715,2
20716,2
20717,2
20718,2
20720,2
20721,2
20722,2
20723,2
20724,2
20730,2
20731,2
20732,2
20733,2
20734,2
20752,3
20753,3
20754,3
20755,3
20756,3
20759,3
20825,1
20826,1
20827,1
20828,1
20831,1
20832,1
21035,2
21036,2
21037,2
21038,2
21039,2
21040,2
21041,2
21042,2
21043,2
21044,2
21045,2
21046,2
21047,2
21048,2
21049,2
21050,2
21051,2
21052,2
21053,2
21054,2
21055,2
21056,2
21057,2
21058,2
21059,2
21064,2
21065,2
21066,2
21067,2
21068,2
21080,3
21081,3
21082,3
21083,3
21084,3
21085,3
21086,3
21087,3
21158,1
21159,1
21161,1
21162,1
21163,1
21165,1
21166,1
21167,1
21369,2
21370,2
